name,image_gr_path,image_kl_path
Cocktailkarte,/uploads/gallery/Cocktailschild_gr.jpg,/uploads/gallery/Cocktailschild_kl.png
Edu an der Bar,/uploads/gallery/Edu_bar_gr.jpg,/uploads/gallery/Edu_bar_kl.png
Ravioli,/uploads/gallery/Bild3_gr.jpg,/uploads/gallery/Bild3_kl.png
Blick raus Stehtresen,/uploads/gallery/Fensterblick_gr.jpg,/uploads/gallery/Fensterblick_kl.png
Kaffe und Kuchen,/uploads/gallery/Bereich_hinten_gr.jpg,/uploads/gallery/Bereich_hinten_kl.jpg
Mischpult,/uploads/gallery/Bild6_gr.jpg,/uploads/gallery/Bild6_kl.png
Music1,/uploads/gallery/Bild7_gr.jpg,/uploads/gallery/Bild7_kl.png
Music2,/uploads/gallery/Bild8_gr.jpg,/uploads/gallery/Bild8_kl.png
Crowd1,/uploads/gallery/Bild9_gr.jpg,/uploads/gallery/Bild9_kl.png
Crowd2,/uploads/gallery/Bild10_gr.jpg,/uploads/gallery/Bild10_kl.png
Crowd3,/uploads/gallery/Bild11_gr.jpg,/uploads/gallery/Bild11_kl.png
Bar Night,/uploads/gallery/1_Bar_night_gr.jpg,/uploads/gallery/1_Bar_night_kl.png
Müsli mit Tagesspiegel,/uploads/gallery/Mueslifenster_gr.jpg,/uploads/gallery/Mueslifenster_kl.png
Interior,/uploads/gallery/4_Interior1.jpg,/uploads/gallery/4_Interior1_kl.png
Kaffeemaschine,/uploads/gallery/5_KaffeeMaschine.jpg,/uploads/gallery/5_KaffeeMaschine_kl.png
Schild,/uploads/gallery/6_Schild_vorne.jpg,/uploads/gallery/6_Schild_vorne_kl.png
Sofakaffee,/uploads/gallery/7_Sofa-Kaffee.jpg,/uploads/gallery/7_Sofa-Kaffee_kl.png
Kerzen,/uploads/gallery/Tische_Kerzenschein_gr.jpg,/uploads/gallery/Tische_Kerzenschein_kl.png
,/uploads/gallery/Flaschenregal_gr.jpg,/uploads/gallery/Flaschenregal_kl.png
Aperol Cocktail,/uploads/aperol-cocktail-gr.jpg,/uploads/aperol-cocktail-kl.png
Malo an der Kaffeemaschine,/uploads/malo-kaffeemaschine-gr.jpg,/uploads/malo-kaffeemaschine-kl.png
